VILLCODE,CODE1,COUNTY,TOWN,VILLAGE,household_no,factory_count,store_count,school_count,monthly_water_usage,hospital_count,people_total,yyyymm_key,lon,lat,predicted_water_usage,actual_predicted_ratio,cluster
A6513-009-00,A6513-47-002,新北市,土城區,柑林里,204,0.0,1.0,0.0,7349.0,0.0,496,201604,121.45753429431998,24.983416439202877,6018.730403735571,1.2210216286542404,5
A6513-010-00,A6513-23-008,新北市,土城區,埤林里,119,0.0,1.0,0.0,6564.0,0.0,393,201604,121.45425406135666,24.987062361075626,4087.408385759772,1.6059075532722615,5
A6513-011-00,A6513-03-001,新北市,土城區,瑞興里,141,0.0,1.0,0.0,6241.0,0.0,380,201604,121.45555650588365,24.993579248146503,4587.279966882921,1.3605012218691308,5
A6513-014-00,A6513-51-008,新北市,土城區,永豐里,137,0.0,1.0,0.0,5773.0,0.0,433,201604,121.46031714092217,24.9812408658422,4496.39422486053,1.2839176707596336,5
A6513-017-00,A6513-32-006,新北市,土城區,峰廷里,146,0.0,1.0,0.0,7494.0,0.0,448,201604,121.46807256282496,24.985493842612062,4700.887144410908,1.5941671794673793,5
A6513-019-00,A6513-73-002,新北市,土城區,廷寮里,64,4.0,1.0,0.0,4462.0,0.0,204,201604,121.46829020316781,24.978901712689588,2914.2878852037484,1.5310772908380825,5
A6513-020-00,A6513-70-009,新北市,土城區,大安里,77,103.0,3.0,0.0,9077.5,0.0,195,201604,121.43738688289265,24.964591172848284,5104.488240009658,1.7783369405867855,1
A6513-022-00,A6513-74-003,新北市,土城區,沛陂里,232,1.0,1.0,0.0,8751.0,0.0,598,201604,121.41873429248501,24.965106832659075,6674.070210955265,1.3111938777083172,5
A6513-029-00,A6513-39-001,新北市,土城區,學府里,146,0.0,1.0,0.0,6348.0,0.0,411,201604,121.45276992392809,24.98489682819489,4700.887144410909,1.3503834074271313,5
A6513-034-00,A6513-21-010,新北市,土城區,延吉里,103,0.0,1.0,0.0,5547.0,0.0,328,201604,121.47052851765937,24.98661107149578,3723.865417670211,1.4895812221566294,5
A6513-035-00,A6513-03-009,新北市,土城區,復興里,167,0.0,1.0,0.0,6725.0,0.0,458,201604,121.4552644950235,24.992130914209667,5178.037290028458,1.2987546483974897,5
A6513-036-00,A6513-10-005,新北市,土城區,裕生里,198,0.0,1.0,0.0,7352.0,0.0,467,201604,121.44668539522671,24.988957469415585,5882.401790701985,1.2498296208907278,5
A6513-036-00,A6513-18-009,新北市,土城區,裕生里,139,0.0,1.0,0.0,8171.0,0.0,394,201604,121.44812231678921,24.9879575162074,4541.837095871726,1.7990517553848373,5
A6513-037-00,A6513-65-007,新北市,土城區,員信里,141,0.0,1.0,0.0,6126.0,0.0,391,201604,121.4410470789327,24.974762674301886,4587.279966882921,1.3354318995626173,5
A6513-038-00,A6513-54-002,新北市,土城區,永富里,107,0.0,1.0,0.0,5143.0,0.0,319,201604,121.46587228438254,24.982918485466246,3814.7511596926015,1.3481875447976615,5
A6513-039-00,A6513-17-008,新北市,土城區,學成里,120,0.0,1.0,0.0,5634.0,0.0,342,201604,121.44984870686773,24.987703039367972,4110.129821265371,1.370759621958968,5
A6513-040-00,A6513-19-008,新北市,土城區,延和里,151,0.0,1.0,0.0,6338.0,0.0,421,201604,121.46587862572666,24.98715745191931,4814.494321938897,1.3164414736390333,5
A6513-040-00,A6513-28-003,新北市,土城區,延和里,192,0.0,1.0,0.0,7334.0,0.0,481,201604,121.46347527241099,24.987243716672168,5746.073177668399,1.2763499129288742,5
A6513-042-00,A6513-49-003,新北市,土城區,學士里,135,0.0,1.0,0.0,6686.0,0.0,425,201604,121.4540855143392,24.982901168470853,4450.951353849335,1.502150769232227,5
A6513-042-00,A6513-49-004,新北市,土城區,學士里,116,0.0,1.0,0.0,5631.0,0.0,337,201604,121.45323764408703,24.98286428885102,4019.2440792429807,1.4010097145084535,5
A6513-043-00,A6513-42-007,新北市,土城區,明德里,89,0.0,1.0,0.0,5215.0,0.0,252,201604,121.44611504092667,24.983466401680467,3405.765320591845,1.5312270544506428,5
A6513-043-00,A6513-45-004,新北市,土城區,明德里,158,0.0,1.0,0.0,8927.0,0.0,434,201604,121.44970902560695,24.983680566090182,4973.544370478081,1.7948970261507677,5
A6513-044-00,A6513-13-010,新北市,土城區,廣興里,163,0.0,2.0,0.0,6964.0,0.0,471,201604,121.45556611474049,24.98794776992152,5087.151548006068,1.3689389699289716,3
A6513-046-00,A6513-29-007,新北市,土城區,金城里,186,0.0,1.0,0.0,9412.0,0.0,531,201604,121.46682137833584,24.985871300421785,5609.744564634814,1.677794753674797,5
A6513-046-00,A6513-31-003,新北市,土城區,金城里,148,0.0,1.0,0.0,11112.0,0.0,324,201604,121.46584653303533,24.98597571249359,4746.330015422106,2.3411772809505695,5
A6513-046-00,A6513-31-004,新北市,土城區,金城里,210,0.0,1.0,0.0,12394.0,0.0,609,201604,121.46511919878535,24.985904844322206,6155.059016769157,2.013628133578111,5
A6513-046-00,A6513-41-001,新北市,土城區,金城里,145,0.0,1.0,0.0,6879.0,0.0,429,201604,121.46574072451234,24.984776086305455,4678.1657089053115,1.470448126047609,5
A6513-047-00,A6513-04-009,新北市,土城區,延祿里,171,0.0,1.0,0.0,6547.0,0.0,490,201604,121.47096018622086,24.9897136965715,5268.9230320508495,1.2425689197155871,5
A6514-002-00,A6514-33-004,新北市,蘆洲區,中原里,114,0.0,1.0,0.0,5550.0,0.0,350,201604,121.46666813127908,25.08530519238332,3973.8012082317855,1.3966476200427682,5
A6514-005-00,A6514-18-005,新北市,蘆洲區,保佑里,254,0.0,1.0,0.0,10348.0,0.0,688,201604,121.46872634582121,25.08888969761509,7154.802179015451,1.4463013429427836,5
A6514-006-00,A6514-07-002,新北市,蘆洲區,水湳里,146,0.0,1.0,0.0,7927.0,0.0,376,201604,121.470808651331,25.093800158358402,4700.887144410908,1.6862774528473332,5
A6514-007-00,A6514-19-002,新北市,蘆洲區,樓厝里,144,0.0,1.0,0.0,5994.0,0.0,388,201604,121.48231043778158,25.089834546285825,4655.444273399714,1.2875248092321776,5
A6514-007-00,A6514-19-008,新北市,蘆洲區,樓厝里,391,1.0,1.0,0.0,17639.0,0.0,1004,201604,121.48302819020815,25.08790728865248,10286.778456345284,1.7147253705186565,5
A6514-007-00,A6514-19-009,新北市,蘆洲區,樓厝里,349,0.0,1.0,0.0,16852.0,0.0,877,201604,121.48143692640399,25.0879023332188,9313.338552047226,1.8094478049759775,5
A6514-009-00,A6514-38-012,新北市,蘆洲區,恆德里,707,0.0,1.0,0.0,26243.0,0.0,1639,201604,121.48138539998725,25.08217357141893,17447.612463051173,1.5041026418700454,5
A6514-009-00,A6514-38-013,新北市,蘆洲區,恆德里,94,0.0,1.0,0.0,5868.0,0.0,240,201604,121.48063375638955,25.08094066286742,3519.372498119833,1.6673426876907411,5
A6514-013-00,A6514-43-002,新北市,蘆洲區,仁復里,208,0.0,1.0,0.0,7836.0,0.0,494,201604,121.47481509927603,25.083383572957782,6109.616145757962,1.2825683010283229,5
